Day,Mileage,Time,heart rate
5/1/2018,,,
5/2/2018,,,
5/3/2018,,,
5/4/2018,,,
5/5/2018,,,
5/6/2018,,,
5/7/2018,3,0:36:32,
5/8/2018,5,0:55:40,
5/9/2018,,,
5/10/2018,3.12,0:36:56,
5/11/2018,,,
5/12/2018,7.07,1:27:23,
5/13/2018,,,
5/14/2018,,,
5/15/2018,3,0:33:46,
5/16/2018,4.54,0:52:11,
5/17/2018,,,
5/18/2018,,,
5/19/2018,0.29,0:03:28,
5/20/2018,3.34,0:41:28,
5/21/2018,,,
5/22/2018,2.01,0:23:32,
5/23/2018,,,
5/24/2018,,,
5/25/2018,,,
5/26/2018,,,
5/27/2018,,,
5/28/2018,,,
5/29/2018,,,
5/30/2018,2,0:25:00,
5/31/2018,4,0:49:10,
6/1/2018,,,
6/2/2018,6,1:17:31,160
6/3/2018,,,
6/4/2018,2.46,0:29:55,139
6/5/2018,3.51,0:43:20,141
6/6/2018,,,
6/7/2018,5,0:58:22,150
6/8/2018,,,
6/9/2018,8,1:36:09,169
6/10/2018,,,
6/11/2018,3,0:33:17,154
6/12/2018,,,
6/13/2018,5,0:58:01,155
6/14/2018,3,0:33:43,155
6/15/2018,,,
6/16/2018,11,2:09:45,
6/17/2018,,,
6/18/2018,,,
6/19/2018,2,0:23:40,142
6/20/2018,4,0:44:38,149
6/21/2018,,,
6/22/2018,3,0:32:32,160
6/23/2018,6,1:10:30,155
6/24/2018,,,
6/25/2018,3,0:32:03,151
6/26/2018,5,0:55:13,144
6/27/2018,,,
6/28/2018,3,0:33:09,151
6/29/2018,,,
6/30/2018,10,2:00:09,158
7/1/2018,,,
7/2/2018,,,
7/3/2018,3,0:32:03,149
7/4/2018,5,0:53:00,149
7/5/2018,3,0:35:50,150
7/6/2018,,,
7/7/2018,10,1:52:59,146
7/8/2018,,,
7/9/2018,3.5,0:35:48,159
7/10/2018,4.5,0:50:22,154
7/11/2018,,,
7/12/2018,3,0:34:12,146
7/13/2018,,,
7/14/2018,13.12,2:30:24,165
7/15/2018,3,0:32:52,
7/16/2018,,,
7/17/2018,,,
7/18/2018,5,0:51:00,163
7/19/2018,3,0:31:48,140
7/20/2018,,,
7/21/2018,7,1:16:35,149
7/22/2018,,,
7/23/2018,3.05,0:33:42,153
7/24/2018,3.04,0:38:03,147
7/25/2018,,,
7/26/2018,14.02,2:42:59,153
7/27/2018,,,
7/28/2018,3,0:35:05,141
7/29/2018,3,0:29:53,151
7/30/2018,,,
7/31/2018,4.08,0:45:19,144
8/1/2018,6,1:05:36,162
8/2/2018,3.06,0:33:32,153
8/3/2018,,,
8/4/2018,14.01,2:44:10,151
8/5/2018,,,
8/6/2018,,,
8/7/2018,3,0:33:29,152
8/8/2018,3,0:33:00,140
8/9/2018,3.2,0:36:43,153
8/10/2018,,,
8/11/2018,10,2:03:27,153
8/12/2018,,,
8/13/2018,10,1:45:50,152
8/14/2018,,,
8/15/2018,3,0:32:58,140
8/16/2018,3,0:32:37,144
8/17/2018,,,
8/18/2018,,,
8/19/2018,13,2:10:00,168
8/20/2018,,,
8/21/2018,,,
8/22/2018,,,
8/23/2018,,,
8/24/2018,,,
8/25/2018,,,
8/26/2018,,,
8/27/2018,,,
8/28/2018,,,
8/29/2018,,,
8/30/2018,,,
8/31/2018,,,
9/1/2018,,,
9/2/2018,,,
9/3/2018,,,
9/4/2018,,,
9/5/2018,,,
