Start,Finish,Weight (lb)
15-May-2018 00:00,16-May-2018 00:00,256.2
16-May-2018 00:00,17-May-2018 00:00,0
17-May-2018 00:00,18-May-2018 00:00,0
18-May-2018 00:00,19-May-2018 00:00,0
19-May-2018 00:00,20-May-2018 00:00,252
20-May-2018 00:00,21-May-2018 00:00,0
21-May-2018 00:00,22-May-2018 00:00,0
22-May-2018 00:00,23-May-2018 00:00,0
23-May-2018 00:00,24-May-2018 00:00,254
24-May-2018 00:00,25-May-2018 00:00,249
25-May-2018 00:00,26-May-2018 00:00,0
26-May-2018 00:00,27-May-2018 00:00,0
27-May-2018 00:00,28-May-2018 00:00,0
28-May-2018 00:00,29-May-2018 00:00,0
29-May-2018 00:00,30-May-2018 00:00,251
30-May-2018 00:00,31-May-2018 00:00,250
31-May-2018 00:00,01-Jun-2018 00:00,0
01-Jun-2018 00:00,02-Jun-2018 00:00,0
02-Jun-2018 00:00,03-Jun-2018 00:00,0
03-Jun-2018 00:00,04-Jun-2018 00:00,0
04-Jun-2018 00:00,05-Jun-2018 00:00,251
05-Jun-2018 00:00,06-Jun-2018 00:00,248
06-Jun-2018 00:00,07-Jun-2018 00:00,246
07-Jun-2018 00:00,08-Jun-2018 00:00,0
08-Jun-2018 00:00,09-Jun-2018 00:00,244.4
09-Jun-2018 00:00,10-Jun-2018 00:00,0
10-Jun-2018 00:00,11-Jun-2018 00:00,0
11-Jun-2018 00:00,12-Jun-2018 00:00,244.8
12-Jun-2018 00:00,13-Jun-2018 00:00,242.6
13-Jun-2018 00:00,14-Jun-2018 00:00,244
14-Jun-2018 00:00,15-Jun-2018 00:00,243
15-Jun-2018 00:00,16-Jun-2018 00:00,0
16-Jun-2018 00:00,17-Jun-2018 00:00,0
17-Jun-2018 00:00,18-Jun-2018 00:00,246
18-Jun-2018 00:00,19-Jun-2018 00:00,0
19-Jun-2018 00:00,20-Jun-2018 00:00,241.6
20-Jun-2018 00:00,21-Jun-2018 00:00,0
21-Jun-2018 00:00,22-Jun-2018 00:00,242
22-Jun-2018 00:00,23-Jun-2018 00:00,242
23-Jun-2018 00:00,24-Jun-2018 00:00,241
24-Jun-2018 00:00,25-Jun-2018 00:00,0
25-Jun-2018 00:00,26-Jun-2018 00:00,243
26-Jun-2018 00:00,27-Jun-2018 00:00,0
27-Jun-2018 00:00,28-Jun-2018 00:00,0
28-Jun-2018 00:00,29-Jun-2018 00:00,0
29-Jun-2018 00:00,30-Jun-2018 00:00,0
30-Jun-2018 00:00,01-Jul-2018 00:00,242
01-Jul-2018 00:00,02-Jul-2018 00:00,0
02-Jul-2018 00:00,03-Jul-2018 00:00,0
03-Jul-2018 00:00,04-Jul-2018 00:00,0
04-Jul-2018 00:00,05-Jul-2018 00:00,239
05-Jul-2018 00:00,06-Jul-2018 00:00,0
06-Jul-2018 00:00,07-Jul-2018 00:00,0
07-Jul-2018 00:00,08-Jul-2018 00:00,0
08-Jul-2018 00:00,09-Jul-2018 00:00,0
09-Jul-2018 00:00,10-Jul-2018 00:00,0
10-Jul-2018 00:00,11-Jul-2018 00:00,0
11-Jul-2018 00:00,12-Jul-2018 00:00,238
12-Jul-2018 00:00,13-Jul-2018 00:00,0
13-Jul-2018 00:00,14-Jul-2018 00:00,0
14-Jul-2018 00:00,15-Jul-2018 00:00,237.6
15-Jul-2018 00:00,16-Jul-2018 00:00,0
16-Jul-2018 00:00,17-Jul-2018 00:00,0
17-Jul-2018 00:00,18-Jul-2018 00:00,0
18-Jul-2018 00:00,19-Jul-2018 00:00,0
19-Jul-2018 00:00,20-Jul-2018 00:00,238
20-Jul-2018 00:00,21-Jul-2018 00:00,0
21-Jul-2018 00:00,22-Jul-2018 00:00,0
22-Jul-2018 00:00,23-Jul-2018 00:00,0
23-Jul-2018 00:00,24-Jul-2018 00:00,0
24-Jul-2018 00:00,25-Jul-2018 00:00,0
25-Jul-2018 00:00,26-Jul-2018 00:00,0
26-Jul-2018 00:00,27-Jul-2018 00:00,0
27-Jul-2018 00:00,28-Jul-2018 00:00,0
28-Jul-2018 00:00,29-Jul-2018 00:00,0
29-Jul-2018 00:00,30-Jul-2018 00:00,0
30-Jul-2018 00:00,31-Jul-2018 00:00,0
31-Jul-2018 00:00,01-Aug-2018 00:00,0
01-Aug-2018 00:00,02-Aug-2018 00:00,0
02-Aug-2018 00:00,03-Aug-2018 00:00,235
03-Aug-2018 00:00,04-Aug-2018 00:00,0
04-Aug-2018 00:00,05-Aug-2018 00:00,0
05-Aug-2018 00:00,06-Aug-2018 00:00,0
06-Aug-2018 00:00,07-Aug-2018 00:00,0
07-Aug-2018 00:00,08-Aug-2018 00:00,0
08-Aug-2018 00:00,09-Aug-2018 00:00,0
09-Aug-2018 00:00,10-Aug-2018 00:00,0
10-Aug-2018 00:00,11-Aug-2018 00:00,0
11-Aug-2018 00:00,12-Aug-2018 00:00,0
12-Aug-2018 00:00,13-Aug-2018 00:00,0
13-Aug-2018 00:00,14-Aug-2018 00:00,0
14-Aug-2018 00:00,15-Aug-2018 00:00,0
15-Aug-2018 00:00,16-Aug-2018 00:00,232
16-Aug-2018 00:00,17-Aug-2018 00:00,0
17-Aug-2018 00:00,18-Aug-2018 00:00,0
18-Aug-2018 00:00,19-Aug-2018 00:00,0
